city,latitude,longitude,name,province
Owensboro,37.723743,-87.123894,McDonald's,KY
Kenner,30.02306,-90.26933,Burger King,LA
Houma,29.63346,-90.75858,Sonic Drive-In,LA
Albuquerque,35.17351,-106.49703,Domino's Pizza,NM
Madison,38.77544,-85.39367,Rally's,IN
Houma,29.58875,-90.74346,Taco Bell,LA
Farmerville,32.7715,-92.39699,Taco Bell,LA
Westwego,29.89708,-90.14081,Pizza Hut,LA
Baton Rouge,30.44345,-91.17915,Sonic Drive-In,LA
Cleveland,33.75489,-90.71678,Back Yard Burgers,MS
Cleveland,33.74364,-90.71593,McDonald's,MS
Camp Lejeune,34.72418,-77.34444,Wendy's,NC
Duluth,46.78937,-92.09841,Domino's Pizza,MN
Fort Stewart,31.8613,-81.61078,Burger King,GA
Northport,33.236442,-87.576869,Sonic Drive-In,AL
Coralville,41.68432,-91.60353,Domino's Pizza,IA
Hartselle,34.439438,-86.940455,Taco Bell,AL
Elizabeth City,36.29457,-76.23925,Domino's Pizza,NC
Swansboro,34.69765,-77.14086,McDonalds,NC
Sutton,38.70084,-80.664158,Arby's,WV
Burlington,44.47568,-73.21264,Pacific Rim,VT
Bay City,28.9826,-95.94636,Taco Bell,TX
Columbia,34.13885,-80.95378,Panda Express,SC
Ames,42.02193,-93.65164,Domino's Pizza,IA
Laurinburg,34.760626,-79.487148,Taco Bell,NC
Valdosta,30.84377,-83.32041,Chick-fil-A,GA
Batesburg,33.903931,-81.545787,Hardee's,SC
North Charleston,32.87129,-80.02056,Domino's Pizza,SC
Ottumwa,41.04905,-92.41165,McDonald's,IA
Mexia,31.68468,-96.47389,McDonald's,TX
Baton Rouge,30.44529,-91.13715,Captain D's,LA
Corpus Christi,27.85699,-97.63067,Whataburger,TX
Angleton,29.165887,-95.422475,Jack in the Box,TX
Natchitoches,31.75324,-93.10647,Sonic Drive-In,LA
Tillamook,45.486681,-123.845556,McDonald's,OR
Franklin,35.90875,-86.88409,Domino's Pizza,TN
Mexico,39.16989,-91.87478,SONIC Drive In,MO
Park Hills,37.84401,-90.50351,SONIC Drive In,MO
Phoenix,33.581838,-112.124385,Samurai Sam's,AZ
Andalusia,31.30789,-86.4999,Arby's,AL
Lincoln,40.814503,-96.700905,Amigos/Kings Classic,NE
Clay Center,39.37906,-97.14248,SONIC Drive In,KS
Tyler,32.28572,-95.30372,McDonald's,TX
Victoria,28.82378,-97.000727,McDonald's,TX
Keyser,39.44023,-78.97744,Subway,WV
Katy,29.79332,-95.71956,McDonald's,TX
Woodway,31.51211,-97.18724,Whataburger,TX
Roma,26.40269,-99.01235,McDonald's,TX
Buffalo,31.45096,-96.07826,McDonalds,TX
Childress,34.43504,-100.22784,McDonald's,TX
Kingsville,27.50749,-97.85649,Taco Bell,TX
Killeen,31.07809,-97.75698,McDonald's,TX
Gilmer,32.73227,-94.94278,Taco Bell,TX
Katy,29.71927,-95.78177,McDonald's,TX
Jasper,30.91192,-93.99569,McDonald's,TX
Bowie,33.557809,-97.846268,McDonald's,TX
New Boston,33.4717,-94.4091,Taco Bell,TX
San Benito,26.12559,-97.63723,McDonald's,TX
Hickory,35.69172,-81.35675,Domino's Pizza,NC
Lonoke,34.79816,-91.89096,SONIC Drive In,AR
Gretna,29.90228,-90.03,Domino's Pizza,LA
Papillion,41.141563,-96.01308,Domino's Pizza,NE
Omaha,41.2606,-96.09081,Domino's Pizza,NE
Newport,39.09245,-84.4806,Domino's Pizza,KY
Greensboro,36.20043,-79.84375,Domino's Pizza,NC
Harlingen,26.17221,-97.67362,Taco Bell,TX
Las Vegas,35.60569,-105.22363,McDonald's,NM
Holdrege,40.42485,-99.3797,Sonic Drive-In,NE
Minot,48.21665,-101.29666,Taco Bell,ND
Wahpeton,46.26365,-96.61158,Taco John's,ND
Madison,44.006216,-97.118242,Taco John's,SD
Carlsbad,32.41713,-104.2292,McDonalds,NM
Bastrop,32.77873,-91.8896,McDonald's,LA
Truth Or Consequences,33.15244,-107.24684,Sonic Drive-In,NM
Madison,44.007172,-97.115957,McDonald's,SD
Owatonna,44.084414,-93.241752,Taco Bell,MN
Laramie,41.30959,-105.56668,Taco Bell,WY
Belle Fourche,44.66263,-103.85504,Taco John's,SD
Shreveport,32.4316,-93.71381,Whataburger,LA
Tahlequah,35.9196,-94.96673,Northeastern State University,OK
Alexandria,31.29621,-92.478,McDonald's,LA
Ellsworth,44.5325,-68.408,Taco Bell,ME
Ellsworth,44.53099,-68.40688,McDonald's,ME
Albuquerque,35.14515,-106.58797,Pizza Hut,NM
Natchitoches,31.75412,-93.08107,McDonald's,LA
Gardiner,44.22938,-69.77157,Domino's Pizza,ME
Springdale,36.17034,-94.13983,SONIC Drive In,AR
Stigler,35.25441,-95.10962,McDonald's,OK
Atoka,34.3717,-96.13563,Taco Bell,OK
Checotah,35.47132,-95.52156,Subway,OK
Springfield,44.04537,-122.96621,Domino's Pizza,OR
Brattleboro,42.83924,-72.56684,Domino's Pizza,VT
Wagoner,35.96083,-95.39476,SONIC Drive In,OK
Alexandria,31.26788,-92.48741,Subway,LA
Endicott,42.09591,-76.05453,McDonald's,NY
West Lafayette,40.45384,-86.91841,Jimmy John's,IN
Saint Albans,44.8396,-73.08202,Taco Bell,VT
Burlington,44.44926,-73.20896,SUBWAY,VT
Alexandria,40.24008,-85.66922,Pizza Hut,IN
Montpelier,44.25664,-72.57701,Domino's Pizza,VT
North Wilkesboro,36.16562,-81.13658,Wendy's,NC
Houlton,46.13483,-67.83927,Domino's Pizza,ME
Williston,48.1566,-103.6262,Taco John's,ND
Columbia,34.064617,-80.95748,Sarku Japan,SC
Mason City,43.14776,-93.21414,Taco Bell,IA
Spencer,43.12617,-95.15025,Taco Bell,IA
Washington,41.29768,-91.69085,Taco Bell,IA
Owens Cross Roads,34.657839,-86.483357,Taco Bell,AL
West Columbia,33.93912,-81.150724,Pizza Hut,SC
Jacksonville,39.723201,-90.240464,Taco Bell,IL
Seneca Falls,42.9037,-76.8312,Burger King,NY
Camden,34.24907,-80.64598,Chick-fil-A,SC
Rawlins,41.77618,-107.22593,Subway,WY
Malone,44.84987,-74.28485,Domino's Pizza,NY
Clinton,40.14714,-88.97722,Taco Bell,IL
Cobleskill,42.67962,-74.47452,Taco Bell,NY
Ogdensburg,44.690205,-75.4774,McDonald's,NY
Monmouth,40.9107,-90.64483,Taco Bell,IL
Eastlake,41.642781,-81.468481,Burger King,OH
Jefferson City,38.58174,-92.20713,Captain D's,MO
Fairfield,38.37957,-88.37697,McDonald's,IL
Jefferson City,38.58134,-92.21398,Jack in the Box,MO
Murphysboro,37.78839,-89.32524,McDonald's,IL
Atmore,31.02181,-87.49386,Burger King,AL
Greenville,38.87866,-89.39077,Taco Bell,IL
Bronx,40.828053,-73.92529,McDonald's,NY
New York,40.757015,-73.98944,Five Guys,NY
Fairfax,38.858362,-77.376969,Pei Wei,VA
Woodbridge,38.637623,-77.297706,Wendy's,VA
Louisville,38.1575,-85.7112,Arby's,KY
Louisville,38.13627,-85.71168,McDonald's,KY
Louisville,38.156731,-85.712124,Taco Bell,KY
Nixa,37.053586,-93.302767,Arby's,MO
Greenville,34.852468,-82.451033,Taco Bell,SC
Greenville,34.853023,-82.452875,McDonald's,SC
Clarksville,36.5098,-87.2763,SONIC Drive In,TN
Clarksville,36.5401,-87.3663,Taco Bell,TN
Knoxville,35.90428,-84.14246,Wendy's,TN
Corpus Christi,27.856211,-97.629141,Burger King,TX
Dayton,30.046579,-94.886769,Jack in the Box,TX
Springfield,37.15422,-93.29613,Jimmy John's,MO
Nashville,36.1217,-86.7054,McDonald's,TN
Mineral Wells,32.8095,-98.0953,Taco Bell,TX
